iter	Passed	Remaining
0	67	67777
1	68	34131
2	68	22895
3	69	17270
4	69	13911
5	70	11658
6	70	10051
7	71	8845
8	71	7917
9	72	7178
10	72	6561
11	73	6047
12	73	5609
13	74	5235
14	74	4910
15	75	4625
16	75	4373
17	76	4150
18	76	3950
19	76	3771
20	77	3608
21	77	3460
22	78	3330
23	78	3207
24	79	3093
25	79	2987
26	80	2889
27	80	2797
28	81	2713
29	81	2635
30	81	2561
31	82	2491
32	82	2426
33	83	2364
34	83	2306
35	84	2251
36	84	2203
37	85	2155
38	85	2108
39	85	2063
40	86	2021
41	86	1981
42	87	1943
43	87	1906
44	88	1871
45	88	1837
46	89	1805
47	89	1774
48	89	1745
49	90	1718
50	90	1691
51	91	1665
52	91	1640
53	92	1615
54	92	1592
55	93	1569
56	93	1546
57	93	1525
58	94	1504
59	94	1484
60	95	1465
61	95	1446
62	96	1428
63	96	1411
64	96	1394
65	97	1377
66	97	1361
67	98	1345
68	98	1330
69	99	1315
70	99	1301
71	99	1287
72	100	1273
73	100	1259
74	101	1247
75	101	1234
76	101	1221
77	102	1209
78	102	1199
79	103	1188
80	103	1177
81	104	1166
82	104	1153
83	104	1143
84	105	1133
85	105	1123
86	106	1114
87	106	1104
88	107	1095
89	107	1086
90	107	1077
91	108	1068
92	108	1060
93	109	1052
94	109	1044
95	110	1036
96	110	1028
97	110	1021
98	111	1013
99	111	1005
100	112	998
101	112	991
102	113	984
103	113	977
104	113	971
105	114	964
106	114	958
107	115	952
108	115	946
109	116	940
110	116	934
111	117	928
112	117	922
113	117	916
114	118	910
115	118	905
116	119	898
117	119	893
118	119	888
119	120	882
120	120	877
121	121	872
122	122	872
123	122	867
124	123	862
125	123	858
126	124	852
127	124	848
128	124	843
129	125	839
130	125	834
131	126	829
132	126	825
133	127	820
134	127	816
135	127	812
136	128	809
137	128	805
138	129	801
139	129	797
140	130	793
141	130	788
142	130	784
143	131	780
144	131	776
145	132	773
146	132	769
147	133	765
148	133	762
149	133	758
150	134	757
151	135	753
152	135	750
153	136	747
154	136	743
155	136	740
156	137	737
157	137	733
158	138	730
159	138	727
160	138	723
161	139	720
162	139	717
163	140	714
164	140	711
165	141	709
166	141	706
167	141	703
168	142	700
169	142	697
170	143	694
171	143	691
172	144	689
173	144	686
174	144	683
175	145	680
176	145	677
177	146	675
178	146	673
179	147	670
180	147	668
181	148	665
182	148	663
183	149	660
184	149	658
185	149	655
186	150	653
187	150	650
188	151	648
189	151	645
190	151	643
191	152	641
192	152	638
193	168	701
194	169	699
195	169	696
196	170	694
197	170	691
198	171	688
199	171	686
200	171	683
201	172	681
202	172	678
203	173	676
204	173	674
205	174	671
206	174	669
207	175	667
208	175	664
209	176	662
210	176	660
211	176	657
212	177	655
213	177	653
214	178	650
215	178	648
216	179	646
217	179	643
218	179	641
219	180	639
220	180	637
221	181	635
222	181	632
223	182	630
224	182	628
225	182	626
226	183	624
227	183	622
228	184	620
229	184	618
230	185	616
231	185	614
232	185	612
233	186	610
234	186	608
235	187	606
236	187	604
237	188	602
238	188	600
239	188	598
240	189	596
241	189	594
242	190	592
243	190	590
244	191	588
245	191	586
246	191	584
247	192	583
248	192	581
249	193	579
250	193	577
251	193	575
252	194	573
253	194	572
254	195	570
255	195	568
256	196	566
257	196	565
258	196	563
259	197	561
260	197	559
261	198	558
262	198	556
263	199	555
264	199	553
265	200	552
266	200	550
267	200	548
268	201	547
269	201	545
270	202	543
271	202	542
272	203	540
273	203	539
274	203	537
275	204	535
276	204	534
277	205	532
278	205	531
279	206	530
280	206	528
281	206	526
282	207	525
283	207	523
284	208	522
285	208	520
286	209	519
287	209	517
288	209	516
289	210	514
290	210	513
291	211	511
292	211	510
293	212	509
294	212	507
295	212	506
296	213	505
297	213	503
298	214	502
299	214	500
300	215	499
301	215	497
302	215	496
303	216	495
304	216	493
305	217	492
306	217	491
307	218	489
308	218	488
309	218	487
310	219	485
311	219	484
312	220	483
313	220	481
314	220	480
315	221	479
316	221	477
317	222	476
318	222	475
319	223	473
320	223	472
321	223	471
322	224	470
323	224	469
324	225	467
325	225	466
326	226	465
327	226	464
328	226	462
329	227	461
330	227	460
331	228	459
332	228	457
333	229	456
334	229	455
335	229	454
336	230	453
337	230	451
338	231	450
339	231	449
340	232	448
341	232	447
342	232	446
343	233	444
344	233	443
345	234	442
346	234	441
347	234	440
348	235	439
349	235	437
350	236	436
351	236	435
352	237	434
353	237	433
354	237	432
355	238	431
356	238	429
357	239	428
358	239	427
359	239	426
360	240	425
361	240	424
362	241	423
363	241	422
364	242	421
365	242	420
366	243	419
367	243	418
368	244	417
369	244	416
370	244	415
371	245	414
372	245	413
373	246	412
374	246	410
375	247	409
376	247	408
377	247	407
378	248	406
379	248	405
380	249	404
381	249	404
382	250	403
383	250	402
384	251	401
385	251	400
386	251	399
387	252	398
388	252	397
389	253	396
390	253	395
391	254	394
392	254	393
393	254	392
394	255	391
395	255	390
396	256	389
397	256	388
398	257	387
399	257	386
400	258	385
401	258	384
402	258	383
403	259	382
404	259	381
405	260	380
406	260	379
407	261	378
408	261	377
409	261	376
410	262	376
411	262	375
412	263	374
413	263	373
414	264	372
415	264	371
416	265	370
417	265	369
418	265	368
419	266	367
420	266	366
421	267	365
422	267	364
423	267	363
424	268	363
425	268	362
426	269	361
427	269	360
428	269	359
429	270	358
430	270	357
431	271	356
432	271	355
433	272	354
434	272	353
435	272	352
436	273	352
437	273	351
438	274	350
439	274	349
440	275	348
441	275	347
442	275	347
443	276	346
444	276	345
445	277	344
446	277	343
447	278	342
448	278	341
449	278	340
450	279	340
451	279	339
452	280	338
453	280	337
454	281	336
455	281	335
456	281	335
457	282	334
